Date,Wakeup Time,,,Sleep Duration,,,Time Asleep,,,Sleep Score,,Rem,,Final Meal,,Travelling to Work,,Travelling Home,,Variables,
,Wakeup Time,Rolling Average (7d),Rolling Average (14d),Sleep Duration,Rolling Average (7d),Rolling Average (14d),Time Asleep,Rolling Average (7d),Time Asleep (previous night),overall_score,Rolling Average (7d),Amount ,Rolling Average (7d),Time,Rolling Average (7d),Set off Time,Arrival,Set off Time,Arrival,Supplements,
,,,,,,,,,,,,,,,,,,,,,
6/28/2024,,9:24:00 AM,8:56:30 AM,,7:45:40,7:36:17,0.9792,11:30:00 PM,11:30:00 PM,,80.0,,,5:00:00 PM,5:40 PM,,,,,,
6/27/2024,,9:11:00 AM,8:52:00 AM,,7:40:15,7:35:28,,11:07:00 PM,,,79.0,,,,6:00 PM,,,,,,
6/26/2024,,9:01:00 AM,8:45:50 AM,,7:36:24,7:34:42,,11:16:30 PM,,,76.0,,,,7:25 PM,,,,,,
6/25/2024,,8:55:50 AM,8:43:23 AM,,7:30:20,7:34:32,,11:44:20 PM,,,75.5,,,,7:15 PM,,,,,,
6/24/2024,8:41:00 AM,8:52:26 AM,8:43:43 AM,7:21:00,7:34:51,7:35:25,,11:33:45 PM,,,75.5,,,,7:15 PM,,,,,,
6/23/2024,10:26:00 AM,8:55:34 AM,8:46:56 AM,8:54:00,7:31:51,7:36:11,,11:52:36 PM,,80,76.4,,,7:00:00 PM,6:51 PM,,,,,,
6/22/2024,9:05:00 AM,8:56:17 AM,8:39:18 AM,7:02:00,7:34:34,7:38:01,,11:53:00 PM,,78,75.2,,,5:00:00 PM,6:27 PM,,,,,,
6/21/2024,8:32:00 AM,8:54:50 AM,8:39:37 AM,7:24:00,7:40:00,7:38:06,0.9632,11:53:00 PM,11:07:00 PM,70,75.4,,0:51:15,,6:48 PM,,,,,,
6/20/2024,8:21:00 AM,8:46:50 AM,8:46:32 AM,7:21:00,7:34:50,7:37:24,0.9764,11:57:40 PM,11:26:00 PM,74,76.8,1:06:00,0:49:24,10:15:00 PM,6:48 PM,,,,,,
6/19/2024,8:30:00 AM,8:44:30 AM,8:43:46 AM,7:00:00,7:35:20,7:41:24,1.0278,11:59:40 PM,12:40:00 AM,,76.3,,0:53:00,6:45:00 PM,5:40 PM,,,,,,
6/18/2024,8:32:00 AM,8:35:50 AM,8:43:00 AM,8:02:00,7:36:30,7:47:37,0.9597,11:51:20 PM,11:02:00 PM,80,76.0,0:39:00,0:51:10,,5:35 PM,,,,,,
6/17/2024,9:03:00 AM,8:32:50 AM,8:41:46 AM,7:00:00,7:40:10,7:52:31,1.0472,11:45:50 PM,1:08:00 AM,74,74.8,0:49:00,0:55:30,5:15:00 PM,5:48 PM,9:10:00 AM,9:58:00 AM,,,,
6/16/2024,10:31:00 AM,8:30:20 AM,8:51:09 AM,9:13:00,7:44:40,7:55:11,0.9965,11:35:50 PM,11:55:00 PM,79,76.2,0:51:00,0:52:30,5:00:00 PM,6:26 PM,,,,,,
6/15/2024,,8:19:30 AM,8:46:28 AM,,7:35:10,7:56:47,,11:33:00 PM,,,75.6,,0:52:48,,7:46 PM,,,,,,
6/14/2024,7:44:00 AM,8:19:30 AM,8:45:17 AM,6:53:00,7:35:10,8:00:24,0.9826,11:33:00 PM,11:35:00 PM,72,76.3,0:42:00,0:52:48,,7:46 PM,,,,,,
6/13/2024,8:07:00 AM,8:33:40 AM,8:47:09 AM,7:24:00,8:02:50,8:04:55,0.9847,11:22:00 PM,11:38:00 PM,75,77.2,1:24:00,0:55:30,,7:46 PM,-,-,,,,
6/12/2024,7:38:00 AM,8:52:50 AM,8:47:13 AM,7:07:00,8:18:50,8:02:28,0.9931,11:21:00 PM,11:50:00 PM,74,77.4,0:42:00,0:40:00,6:30:00 PM,7:46 PM,8:06:00 AM,8:58:00 AM,,,,
